 
expt, gcm_name, enso_stddev, control_enso_stddev, percentage change
midHolocene, AWI-CM-1-1-LR, 0.615068, 0.748795, -17.859%
midHolocene, BCC-CSM1-1, 0.663096, 0.695788, -4.69848%
midHolocene, CCSM4, 1.00798, 1.05023, -4.02293%
midHolocene, CESM2, 1.04081, 1.14001, -8.70182%
midHolocene, CNRM-CM5, 0.738694, 0.810513, -8.86095%
midHolocene, CSIRO-Mk3-6-0, 0.80598, 0.680119, 18.5057%
midHolocene, CSIRO-Mk3L-1-2, 0.44106, 0.534729, -17.517%
midHolocene, FGOALS-g2, 0.55938, 0.744639, -24.8791%
midHolocene, FGOALS-s2, 1.04283, 1.07175, -2.69907%
midHolocene, GISS-E2-1-G, 1.12834, 1.17505, -3.97466%
midHolocene, GISS-E2-R, 0.491318, 0.523797, -6.20065%
midHolocene, HadGEM2-CC, 0.684804, 0.705724, -2.96423%
midHolocene, HadGEM3-GC31, 0.919302, 0.932783, -1.44525%
midHolocene, IPSL-CM5A-LR, 0.565198, 0.683329, -17.2877%
midHolocene, IPSL-CM6A-LR, 0.927989, 0.975408, -4.86144%
midHolocene, MIROC-ES2L, 0.749171, 1.1859, -36.8266%
midHolocene, MIROC-ESM, 0.403423, 0.469531, -14.0796%
midHolocene, MPI-ESM-P, 0.665354, 0.757, -12.1065%
midHolocene, MRI-CGCM3, 0.666212, 0.601436, 10.7701%
midHolocene, MRI-ESM2-0, 0.710275, 0.904119, -21.4402%
midHolocene, NESM3, 0.63062, 0.695554, -9.33562%
Ensemble mean change in midHolocene = -9.0707%
 
expt, gcm_name, enso_stddev, control_enso_stddev, percentage change
lgm, AWI-CM-1-1-LR, 0.715623, 0.748795, -4.42999%
lgm, CCSM4, 0.873097, 1.05023, -16.8663%
lgm, CNRM-CM5, 0.831491, 0.810513, 2.58825%
lgm, COSMOS-ASO, 1.78477, 1.78083, 0.220969%
lgm, FGOALS-g2, 0.395681, 0.744639, -46.8627%
lgm, GISS-E2-R, 0.361203, 0.523797, -31.0414%
